X,Y,cod_icao,nm_municip,tipoaero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,geocodigo,tipo_info,icon_url
-48.7008333358638,-19.6436111127777,SIIU,Campo Florido,Nacional,Santa Marta,18.00000000000,"1",MG,676.00000000000,800.00000000000,PRIV,cascalho,3111408.00000000000,tipo_info,./1.png
-48.7894444469702,-19.6425000016558,SIRS,Campo Florido,Nacional,Fazenda São Sebastião,23.00000000000,"1",MG,750.00000000000,850.00000000000,PRIV,terra,3111408.00000000000,tipo_info,./1.png
-48.7388888914132,-19.8138888905308,SNLF,Campo Florido,Nacional,Filial Campo Florido,18.00000000000,"1",MG,597.00000000000,720.00000000000,PRIV,cascalho,3111408.00000000000,tipo_info,./1.png
-41.9955555583014,-20.7794444467808,SIZC,Carangola,Nacional,Fazenda Fenix,25.00000000000,"1",MG,470.00000000000,702.00000000000,PRIV,cascalho,3113305.00000000000,tipo_info,./1.png
-50.9516666690649,-19.6633333347203,SNEW,Carneirinho,Nacional,Fazenda Congonhas,19.00000000000,"1",MG,419.00000000000,1423.00000000000,PRIV,asfalto ou concreto Asfáltico,3114550.00000000000,tipo_info,./1.png
-50.968333335722,-19.9780555569031,SNVO,Carneirinho,Nacional,Fazenda Pontal,40.00000000000,"1",MG,378.00000000000,1000.00000000000,PRIV,terra,3114550.00000000000,tipo_info,./1.png
-46.860000002601,-20.4308333351312,SNVU,Cássia,Nacional,Fazenda Itatuba,25.00000000000,"1",MG,730.00000000000,740.00000000000,PRIV,grama,3115102.00000000000,tipo_info,./1.png
-47.6797222247982,-19.8769444462083,SNAW,Conquista,Nacional,Fazenda Boa Fé,22.00000000000,"1",MG,750.00000000000,700.00000000000,PRIV,terra,3118205.00000000000,tipo_info,./1.png
-47.7783333359032,-19.9408333350777,SNUS,Delta,Nacional,Usina Delta I,20.00000000000,"1",MG,640.00000000000,650.00000000000,PRIV,cascalho,3121258.00000000000,tipo_info,./1.png
-46.2363888915989,-16.8838888911563,SNEK,Dom Bosco,Nacional,Moria,30.00000000000,"1",MG,366.00000000000,850.00000000000,PRIV,saibro,3122470.00000000000,tipo_info,./1.png
-43.9586111138831,-17.293611113603,SJHW,Engenheiro Navarro,Nacional,Professor Maurício Joppert,18.00000000000,"1",MG,676.80000000000,1200.00000000000,PRIV,cascalho,3123809.00000000000,tipo_info,./1.png
-45.1133333360384,-18.7627777799778,SNTT,Felixlândia,Nacional,Tranquilo Testolin,30.00000000000,"1",MG,612.00000000000,1500.00000000000,PRIV,asfalto ou concreto Asfáltico,3125705.00000000000,tipo_info,./1.png
-49.1908333358217,-20.2775000015312,SBFT,Fronteira,Nacional,Fronteira,30.00000000000,"1",MG,487.00000000000,1720.00000000000,PRIV,asfalto ou concreto Asfáltico,3127008.00000000000,tipo_info,./1.png
